t l_Lp l_Lda l_awake l_asleep
0 0 0 60 15
15 0 0 63 12
30 0 0 64 11
45 0 0 65 10
60 0 0 64 11
75 0 0 64 11
90 0 0 62 13
105 0 0 69 6
120 0 0 74 1
135 0 0 73 2
150 0 0 66 9
165 0 0 63 12
180 0 0 62 13
195 0 0 65 10
210 0 0 62 13
225 0 0 63 12
240 0 0 63 12
255 0 1 61 14
270 0 2 60 15
285 0 3 61 14
300 0 4 61 14
315 0 6 66 9
330 0 7 63 12
345 0 8 62 13
360 0 10 65 10
375 0 11 62 13
390 0 11 60 15
405 0 11 63 12
420 0 11 64 11
435 0 12 61 14
450 0 13 62 13
465 0 14 65 10
480 0 17 60 15
495 0 17 63 12
510 0 18 62 13
525 0 18 60 15
540 0 19 64 11
555 0 20 61 14
570 0 22 62 13
585 0 25 63 12
600 0 26 62 13
615 0 27 63 12
630 0 28 60 15
645 0 29 62 13
660 0 29 62 13
675 0 29 69 6
690 0 31 74 1
705 0 32 74 1
720 0 32 69 6
735 0 32 74 1
750 0 34 73 2
765 0 36 75 0
780 0 38 73 2
795 0 40 66 9
810 0 40 61 14
825 0 41 66 9
840 0 42 62 13
855 0 42 61 14
870 0 44 67 8
885 0 44 66 9
900 0 45 69 6
915 0 45 72 3
930 0 45 74 1
945 0 46 69 6
960 0 48 74 1
975 0 48 75 0
990 48 49 75 0
1005 48 50 74 1
1020 48 50 73 2
1035 48 51 73 2
1050 50 52 74 1
1065 52 54 74 1
1080 53 57 69 6
1095 53 57 66 9
1110 56 58 67 8
1125 56 60 62 13
1140 56 60 62 13
1155 56 62 63 12
1170 56 63 64 11
1185 56 65 63 12
1200 56 66 64 11
1215 56 66 64 11
1230 56 68 69 6
1245 56 68 60 15
1260 56 68 60 15
1275 56 68 64 11
1290 56 69 66 9
1305 56 70 67 8
1320 56 73 68 7
1335 56 73 73 2
1350 73 75 75 0
1365 74 76 75 0
1380 76 76 72 3
1395 76 76 67 8
1410 76 77 72 3
1425 76 77 67 8
1440 76 77 66 9
1455 76 78 69 6
1470 76 80 64 11
1485 76 80 64 11
1500 76 83 67 8
1515 76 84 68 7
1530 76 85 65 10
1545 76 85 66 9
1560 76 87 60 15
1575 76 88 65 10
1590 76 90 68 7
1605 76 91 69 6
1620 76 92 75 0
1635 76 93 72 3
1650 92 93 69 6
1665 92 95 70 5
1680 92 97 75 0
1695 92 97 74 1
1710 97 98 75 0
1725 97 98 69 6
